,city,latitude,temperature,humidity,cloudiness,windspeed,data_retrieval_date
405,mar del plata,-46.43,36.12,90.0,12.0,12.8,1532310093.0
406,price,39.6,65.37,63.0,92.0,2.84,1532310014.0
407,harsud,21.96,76.35,97.0,92.0,12.91,1532310135.0
409,nanortalik,60.14,37.74,95.0,0.0,5.75,1532310136.0
410,brokopondo,5.06,77.0,94.0,40.0,5.82,1532307600.0
411,saint-marc,19.1,72.66,100.0,0.0,5.19,1532310136.0
412,cordoba,5.59,51.51,88.0,56.0,2.06,1532310137.0
413,leh,34.16,40.17,80.0,88.0,1.95,1532310137.0
414,meadow lake,54.13,59.25,62.0,76.0,12.8,1532310137.0
415,yurino,56.29,51.8,93.0,0.0,4.47,1532307600.0
416,alice springs,-23.7,77.0,13.0,0.0,20.8,1532309400.0
417,tessalit,20.2,79.68,40.0,0.0,10.0,1532310138.0
419,ostrovnoy,68.05,70.05,82.0,56.0,18.05,1532310139.0
420,buchanan,5.88,73.4,94.0,40.0,3.96,1532307600.0
421,isiro,2.77,68.43,94.0,0.0,2.17,1532310140.0
422,constitucion,23.99,80.6,32.0,40.0,8.05,1532306460.0
423,xining,36.62,50.88,98.0,92.0,3.74,1532310140.0
424,chokurdakh,70.62,56.1,69.0,100.0,11.79,1532309984.0
425,haileybury,47.44,71.6,64.0,40.0,8.05,1532307600.0
426,bichura,50.59,71.04,64.0,20.0,3.4,1532310141.0
427,santona,43.44,62.6,100.0,44.0,2.39,1532309400.0
428,pithiviers,48.17,65.61,87.0,0.0,3.36,1532309400.0
429,alofi,-19.06,78.8,65.0,0.0,11.41,1532307600.0
430,iqaluit,63.75,57.2,41.0,40.0,8.05,1532307600.0
431,husavik,50.56,64.65,100.0,56.0,5.75,1532310143.0
432,fallingbostel,52.87,57.94,93.0,24.0,2.39,1532308800.0
433,barroquinha,-3.02,80.22,74.0,32.0,12.12,1532310143.0
434,thongwa,16.76,80.6,94.0,75.0,2.24,1532307600.0
435,dzilam gonzalez,21.28,79.32,87.0,12.0,4.41,1532310144.0
436,peto,20.13,82.92,77.0,20.0,5.64,1532310144.0
437,hay river,60.82,62.6,63.0,75.0,3.36,1532307600.0
438,leningradskiy,69.38,36.03,100.0,0.0,13.35,1532310145.0
440,tecoanapa,16.99,86.0,79.0,5.0,11.41,1532306580.0
441,pangkalanbuun,-2.68,85.35,79.0,20.0,9.22,1532310146.0
442,oktyabrskoye,56.73,61.05,73.0,80.0,10.22,1532310146.0
443,tamandare,-8.28,69.51,90.0,0.0,2.28,1532310147.0
444,walvis bay,-22.95,60.42,96.0,0.0,0.94,1532310147.0
